phrase	band	rank	frequency	band_spoken_general	band_written_general	band_written_academic	example	flag
AS YET	4	4072	1423	2	1	1	I’m not convinced as yet.	
AT RISK	4	4077	1419	2	1	1	There’s no reason to put passers by at risk.	
A MERE	4	4092	1410	2	1	1	She made a mere penny per shirt.	
SHOWN TO	4	4093	1409	0	1	1	Dogs have been shown to help.	
ON THE ONE HAND	4	4095	1406	1	1	3	"On the one hand, it’s cheap."	
BY WAY OF	4	4099	1404	2	1	1	It was only by way of bribery that they managed.	
ON THE ROAD	4	4107	1400	1	1	0	I can’t wait to get on the road again.	
BEAR IN MIND	4	4109	1398	1	1	1	It was designed bearing in mind environmental impact.	
OLD FASHIONED	4	4113	1393	1	1	0	He’s just a bit old fashioned sometimes.	
FOR SALE	4	4136	1379	2	1	0	The house is for sale.	
OR ANYTHING	4	4138	1379	1	2	0	I don’t want any trouble or anything.	
MOST LIKELY	4	4143	1376	1	1	1	It is most likely the reason for the warming.	
PROVIDE FOR	4	4153	1370	0	1	1	The other variables have been provided for.	
EVEN SO	4	4165	1363	1	1	1	"Even so, it’s no way to treat a guest."	
COME ACROSS	4	4167	1362	1	1	2	They happened to come across a map.	
FIRST OF ALL	4	4182	1352	1	2	2	It is first of all what most people prefer.	
MIGHT AS WELL	4	4195	1348	1	1	0	We’re here now so we might as well.	
LIMITED TO	4	4199	1346	0	1	1	The dinner was limited to seniors.	
TO ME ('IN MY OPINION')	4	4201	1345	1	2	3	To me what matters is that it gets done.	1
MIND YOU	4	4207	1342	1	2	0	"Mind you, that’s one reason why I go there."	
AT A TIME	4	4210	1340	1	1	1	They went in two at a time.	
HALF PAST	4	4232	1325	1	1	0	I make it half past.	
WITH RESPECT TO	4	4233	1325	2	1	1	She had nothing to add with respect to the report.	
CONSISTENT WITH	4	4242	1315	0	2	1	The results are consistent with our hypothesis.	
WAY OUT	4	4248	1309	1	1	0	He lives way out in the country.	
THIRD PARTY	4	4250	1307	0	0	1	They work with third party software too.	
CONTRARY TO	4	4253	1303	2	1	1	"The city is clean, contrary to popular belief."	
WORTH OF	4	4257	1299	1	1	0	Two dollars worth of wood was all he needed.	
A GOOD (‘AT LEAST’)	4	4259	1298	1	1	2	It took him a good six or seven years.	1
ACT ON	4	4261	1296	1	1	1	She never acted on that rage.	
EXCEPT THAT	4	4262	1296	1	1	2	It seemed fine except that it was pink.	
DAY TO DAY	4	4278	1289	1	1	2	They carried on with their day to day tasks.	
AS USUAL	4	4282	1287	1	1	2	As usual he left it until the last minute.	
LONG BEFORE	4	4290	1282	1	1	1	Long before I could quit I was offered a promotion.	
LONG AGO	4	4307	1273	1	1	1	I gave up on that idea long ago.	
IN CONJUNCTION WITH	4	4314	1270	0	1	1	"The police, in conjunction with the fire department, managed to keep the crowd under control."	
UP TO DATE	4	4319	1268	1	1	1	I try to keep up to date.	
LET ALONE	4	4333	1261	1	1	1	I can’t run let alone walk.	
QUITE A LOT	4	4337	1260	1	1	0	I do swim quite a lot.	
IF YOU LIKE	4	4342	1256	1	2	0	It was her ‘chutzpah’ if you like that impressed.	
TO THE EXTENT	4	4349	1253	0	1	1	He’s interesting to the extent that he knows a lot.	
SO FAR AS	4	4356	1251	1	1	2	So far as I know it’s not the first time either.	
GIVEN THAT	4	4362	1247	1	1	1	It was no surprise given that it was her job.	
IN LINE WITH	4	4372	1240	1	1	1	The decision is in line with the department’s wishes.	
ON THE WHOLE	4	4374	1238	1	1	1	It was acceptable on the whole. 	
CARE TO	4	4396	1223	1	1	0	Do you care to comment at all?	
TAKE ACCOUNT OF	4	4408	1217	2	1	1	We did not take account of the paperwork.	
SOMETHING LIKE THAT	5	4461	1192	1	0	0	He said he had a meeting to go to or something like that.	
MAKE USE OF	5	4462	1191	1	1	1	We made use of the stopover.	
WHEN IT COMES TO	5	4465	1188	1	1	1	I’m hopeless when it comes to goodbyes.	
FILL IN	5	4466	1187	1	1	1	The victim filled in what was stolen.	
FOR ALL	5	4471	1182	1	1	2	"For all his money, he does not seem very happy."	
A QUESTION OF	5	4482	1174	1	1	1	It’s a question of trust.	
FOR LIFE	5	4484	1172	1	1	1	And he stayed there for life.	
GET AWAY	5	4497	1165	1	1	0	They managed to get away.	
IN THE MEANTIME	5	4501	1161	1	1	1	I’ll keep working on it in the meantime.	
SOMETHING OF A	5	4522	1154	1	1	0	She’s something of a mathematics wiz.	
THE ODD	5	4523	1154	1	1	2	I do play the odd jazz tune.	
LITTLE MORE THAN	5	4556	1133	2	1	1	It’s little more than pageantry if you ask me.	
WOULD YOU LIKE	5	4558	1133	1	2	0	Would you like tea?	
IN NEED	5	4584	1122	3	1	1	We want to help children in need.	
TAKE FOR GRANTED	5	4587	1120	1	1	2	It’s just something I’ve always taken for granted.	
IN THIS RESPECT	5	4605	1110	0	1	1	"In this respect, our study refutes earlier research."	
PROVIDED THAT	5	4606	1110	2	1	1	It’s OK provided that he come up with the goods.	
ALLOW FOR	5	4614	1105	2	1	1	"Even if you allow for inflation, the price increase still seems exhorbitant."	
CATCH UP	5	4634	1095	1	1	0	I took extra classes just to catch up.	
A GO	5	4639	1093	1	1	0	Why don’t you have a go?	
FOR THE MOMENT	5	4649	1092	1	1	2	For the moment things seem stable.	
AT THE EXPENSE OF	5	4656	1086	2	1	1	They were laughing at the expense of the photo.	
PUT TOGETHER	5	4670	1082	1	1	2	He put together the proposal in a matter of days.	
THINGS LIKE THAT	5	4671	1082	1	2	0	"He does karate and things like that, you see."	
OF LITTLE	5	4682	1079	1	1	1	"It was of little relevance, really."	
SHUT UP	5	4683	1079	1	1	0	I just couldn’t shut up.	
AS OF	5	4703	1069	1	1	1	It was completed as of June.	
OVER TIME	5	4704	1069	1	1	1	It might change over time.	
WOULD APPEAR	5	4710	1068	1	1	1	"They people have spoken, it would appear."	
THE OTHER DAY	5	4711	1066	1	2	0	I thought of you the other day.	
IN THEORY	5	4712	1065	1	1	1	In theory that is why he went there.	
THOUGHT OF AS	5	4713	1065	1	1	1	Beaches are thought of as vacation spots.	
THOUGHT OF	5	4713	1065	1	1	1	Beaches are thought of as vacation spots.	
FOR GOOD	5	4721	1061	1	2	0	It’s gone for good.	
OPPOSED TO	5	4726	1059	2	1	1	He’s strangely opposed to gun control.	
COMMON SENSE	5	4749	1049	1	1	1	To me it’s common sense.	
BOTHER TO	5	4754	1046	1	1	0	He never bothered to reply.	
AS GOOD AS	5	4759	1043	1	1	2	It’s as good as gone.	
BACK UP	5	4761	1042	1	1	2	I have proof to back up my story.	
TAKE CARE OF	5	4791	1034	1	1	1	I’ll take care of this customer.	
THE SIGHT OF	5	4816	1024	2	1	0	I can’t stand the sight of it.	
GO ROUND	5	4819	1022	1	1	0	I’ll go round asking if anyone wants any more.	
THE WHOLE THING	5	4834	1015	1	2	0	Why don’t we just forget the whole thing?	
AT ONE TIME	5	4837	1014	1	1	1	At one time I thought that too.	
HEAD TO	5	4839	1014	1	1	0	"Meanwhile, he decided to head to the hospital. "	
IN A SENSE	5	4840	1014	1	1	1	The food was in a sense only part of the experience.	
ON AVERAGE	5	4841	1014	1	1	2	How much does he make on average?	
WAY ROUND	5	4846	1013	1	1	0	Do you know your way round?	
CAN TELL	5	4850	1011	1	2	0	You can tell from the markings.	
FREE FROM	5	4896	991	0	1	1	I dream of a life free from stress.	
AND ALL THAT	5	4901	989	1	0	0	I like art and all that.	
AS IT WERE	5	4909	985	1	1	3	The party was a smash as it were.	
WHAT IF	5	4915	984	1	2	3	What if we could fly?	
TOUCH OF	5	4917	982	1	1	0	There was a touch of sadness in her voice.	
BETTER OFF	5	4919	980	1	1	2	You’re better off without him.	
STAND FOR	5	4932	977	2	1	2	That symbol used to stand for something.	
TO BLAME	5	4944	973	1	1	1	"I think the government’s to blame, really."	
THE BULK OF	5	4950	968	1	1	1	The bulk of it was done by noon.	
A HANDFUL OF	5	4955	965	1	1	1	Only a handful of them were actually awake.	
AT THE OUTSET	5	4959	963	1	1	1	"It went well, but not at the outset."	
THE OUTSET	5	4959	963	1	1	1	"It went well, but not at the outset."	
BY VIRTUE OF	5	4991	954	1	1	1	She won by virtue of her superior intellect.	
TURN DOWN	5	5001	951	1	1	0	I won’t turn down such a great offer.	
GET ON (‘RELATE’)	5	5010	944	1	2	0	My parent don’t really get on very well.	
UNDER WAY	5	5022	939	0	1	1	Changes are already under way.	
IN THE INTEREST OF	5	5025	938	2	1	1	They stopped in the interest of time.	
ON THE MARKET	5	5051	928	2	1	1	How long has it been on the market?	
BY FAR	5	5060	925	1	1	1	The rise in unemployment was by far the highest.	
A DEGREE OF	5	5072	921	3	1	1	There is a degree of irony in the story.	
NEVER MIND	5	5082	915	1	2	0	Never mind that it’s my birthday today.	
UP AND DOWN	5	5134	898	1	1	0	He was up and down the hall worrying about it.	
IN ONE’S OWN RIGHT	5	5156	891	1	1	1	Gesture is a form of expression in its own right.	
A CASE OF	5	5169	888	1	1	1	Now it’s just a case of getting them to subscribe.	
MORE SO	5	5171	887	1	1	1	"Boston is walkable, and San Francisco more so."	
COME UP TO	5	5193	881	1	1	0	Men always come up to me first.	
IN WHICH CASE	5	5216	872	1	1	1	"That means it’s midnight, in which case it’s closed."	
NO SIGN OF	5	5222	871	1	1	0	Still no sign of him?	
JUST AS (‘WHEN’)	5	5231	869	1	1	0	I saw him just as he left.	
FOR THE SAKE OF	5	5244	865	1	1	2	He exaggerated his points for the sake of effect.	
IN A POSITION TO	5	5247	864	1	1	1	I’m not in a position to comment right now.	
TO COME (FUTURE)	5	5255	862	1	1	1	We’ll see how things go in the weeks to come.	
BACKED BY	5	5285	850	0	1	0	The group is backed by the drug trade.	
AT BEST	5	5303	844	1	1	2	He’s at best average.	
WEALTH OF	5	5306	844	2	1	1	The library holds a wealth of knowledge.	
THAT SORT OF THING	5	5309	843	1	0	0	He drinks a lot and that sort of thing.	
MAKE OUT	5	5311	842	2	1	0	He could barely make out her signature.	
COME TO TERMS WITH	5	5323	839	2	1	2	They were finally able to come to terms with the change in weather.	
FOND OF	5	5348	831	1	1	0	"I’m not very fond of it, to be honest."	
WITH A VIEW TO	5	5354	829	1	1	1	It was written with a view to inspiring hope.	
TURN BACK	5	5361	827	2	1	2	There was no turning back now.	
GET AWAY WITH	5	5366	824	1	1	0	Somehow they managed to get away with it.	
NO WONDER	5	5384	820	1	1	0	No wonder he’s ranked first.	
WELL BEING	5	5438	809	1	1	2	It was good for their overall well being.	
HOW ABOUT	5	5447	805	1	2	0	How about tomorrow?	
TO GO (‘REMAINING’)	5	5463	801	1	1	0	Two more to go.	
STRAIGHT AWAY	5	5479	794	1	1	2	They’ll get to it straight away.	
OWING TO	5	5485	793	1	1	1	"Owing to his honesty, he was held in high esteem."	
HOLD UP	5	5491	791	1	1	0	Sorry – we got held up on the M25.	
LOOK TO	5	5492	790	1	1	1	He constantly looked to us for advice and support.	
LAY OUT	5	5496	789	1	1	1	The countries laid out plans for a peace agreement.	
THE LOT	5	5497	789	1	2	0	"They tood the jewellery, the laptops, the lot."	
KEEP ON	5	5501	788	1	1	0	Freeways kept on being built.	
MAKE UP ONE’S MIND	5	5502	788	1	1	0	You’d better make up your mind.	
AT WORK	5	5503	787	0	1	1	There were strange forces at work.	
COME ABOUT	5	5504	787	1	1	2	It all came about through a meeting back in April.	
